sourceName	(edgeType)	targetName
RelatedPerson	recorder_allergy_intolerance	AllergyIntolerance
Patient	recorder_allergy_intolerance	AllergyIntolerance
Practitioner	annotation	Annotation
RelatedPerson	annotation	Annotation
Organization	annotation	Annotation
Patient	annotation	Annotation
ServiceRequest	appointment	Appointment
Condition	appointment	Appointment
ImmunizationRecommendation	appointment	Appointment
Procedure	appointment	Appointment
Observation	appointment	Appointment
Slot	appointment	Appointment
Resource	appointment	Appointment
Practitioner	appointment_participant	AppointmentParticipant
Device	appointment_participant	AppointmentParticipant
Patient	appointment_participant	AppointmentParticipant
PractitionerRole	appointment_participant	AppointmentParticipant
RelatedPerson	appointment_participant	AppointmentParticipant
HealthcareService	appointment_participant	AppointmentParticipant
Location	appointment_participant	AppointmentParticipant
Practitioner	appointment_response	AppointmentResponse
Device	appointment_response	AppointmentResponse
Patient	appointment_response	AppointmentResponse
PractitionerRole	appointment_response	AppointmentResponse
RelatedPerson	appointment_response	AppointmentResponse
HealthcareService	appointment_response	AppointmentResponse
Location	appointment_response	AppointmentResponse
Appointment	appointment_response	AppointmentResponse
Location	audit_event_agent	AuditEventAgent
Practitioner	audit_event_agent	AuditEventAgent
Device	audit_event_agent	AuditEventAgent
Patient	audit_event_agent	AuditEventAgent
PractitionerRole	audit_event_agent	AuditEventAgent
Organization	audit_event_agent	AuditEventAgent
RelatedPerson	audit_event_agent	AuditEventAgent
Resource	audit_event_entity	AuditEventEntity
Practitioner	audit_event_source	AuditEventSource
Device	audit_event_source	AuditEventSource
Patient	audit_event_source	AuditEventSource
PractitionerRole	audit_event_source	AuditEventSource
Organization	audit_event_source	AuditEventSource
RelatedPerson	audit_event_source	AuditEventSource
Practitioner	basic	Basic
Patient	basic	Basic
PractitionerRole	basic	Basic
RelatedPerson	basic	Basic
Organization	basic	Basic
Resource	basic	Basic
Resource	binary	Binary
BiologicallyDerivedProduct	biologically_derived_product	BiologicallyDerivedProduct
ServiceRequest	biologically_derived_product	BiologicallyDerivedProduct
Practitioner	biologically_derived_product_collection	BiologicallyDerivedProductCollection
PractitionerRole	biologically_derived_product_collection	BiologicallyDerivedProductCollection
Organization	biologically_derived_product_collection	BiologicallyDerivedProductCollection
Patient	biologically_derived_product_collection	BiologicallyDerivedProductCollection
Substance	biologically_derived_product_processing	BiologicallyDerivedProductProcessing
Patient	body_structure	BodyStructure
ImplementationGuide	capability_statement	CapabilityStatement
CapabilityStatement	imports_capability_statement	CapabilityStatement
CapabilityStatement	instantiates_capability_statement	CapabilityStatement
StructureDefinition	capability_statement_document	CapabilityStatementDocument
Organization	capability_statement_implementation	CapabilityStatementImplementation
MessageDefinition	capability_statement_messaging_supported_message	CapabilityStatementMessagingSupportedMessage
CompartmentDefinition	capability_statement_rest	CapabilityStatementRest
StructureDefinition	profile_capability_statement_rest_resource	CapabilityStatementRestResource
StructureDefinition	supportedProfile_capability_statement_rest_resource	CapabilityStatementRestResource
OperationDefinition	capability_statement_rest_resource_operation	CapabilityStatementRestResourceOperation
SearchParameter	capability_statement_rest_resource_search_param	CapabilityStatementRestResourceSearchParam
Condition	care_plan	CarePlan
Practitioner	author_care_plan	CarePlan
Device	author_care_plan	CarePlan
Patient	author_care_plan	CarePlan
PractitionerRole	author_care_plan	CarePlan
RelatedPerson	author_care_plan	CarePlan
Organization	author_care_plan	CarePlan
CareTeam	author_care_plan	CarePlan
CarePlan	basedOn_care_plan	CarePlan
CareTeam	careTeam_care_plan	CarePlan
Practitioner	contributor_care_plan	CarePlan
Device	contributor_care_plan	CarePlan
Patient	contributor_care_plan	CarePlan
PractitionerRole	contributor_care_plan	CarePlan
RelatedPerson	contributor_care_plan	CarePlan
Organization	contributor_care_plan	CarePlan
CareTeam	contributor_care_plan	CarePlan
Encounter	care_plan	CarePlan
Goal	care_plan	CarePlan
ActivityDefinition	care_plan	CarePlan
PlanDefinition	care_plan	CarePlan
Measure	care_plan	CarePlan
Questionnaire	care_plan	CarePlan
OperationDefinition	care_plan	CarePlan
CarePlan	partOf_care_plan	CarePlan
CarePlan	replaces_care_plan	CarePlan
Group	care_plan	CarePlan
Patient	subject_care_plan	CarePlan
Resource	care_plan	CarePlan
Resource	care_plan_activity	CarePlanActivity
ServiceRequest	care_plan_activity	CarePlanActivity
CommunicationRequest	care_plan_activity	CarePlanActivity
NutritionOrder	care_plan_activity	CarePlanActivity
MedicationRequest	care_plan_activity	CarePlanActivity
VisionPrescription	care_plan_activity	CarePlanActivity
DeviceRequest	care_plan_activity	CarePlanActivity
RequestGroup	care_plan_activity	CarePlanActivity
Appointment	care_plan_activity	CarePlanActivity
Task	care_plan_activity	CarePlanActivity
Goal	care_plan_activity_detail	CarePlanActivityDetail
ActivityDefinition	care_plan_activity_detail	CarePlanActivityDetail
PlanDefinition	care_plan_activity_detail	CarePlanActivityDetail
Measure	care_plan_activity_detail	CarePlanActivityDetail
Questionnaire	care_plan_activity_detail	CarePlanActivityDetail
OperationDefinition	care_plan_activity_detail	CarePlanActivityDetail
Location	care_plan_activity_detail	CarePlanActivityDetail
Practitioner	care_plan_activity_detail	CarePlanActivityDetail
Device	care_plan_activity_detail	CarePlanActivityDetail
Patient	care_plan_activity_detail	CarePlanActivityDetail
PractitionerRole	care_plan_activity_detail	CarePlanActivityDetail
Organization	care_plan_activity_detail	CarePlanActivityDetail
RelatedPerson	care_plan_activity_detail	CarePlanActivityDetail
CareTeam	care_plan_activity_detail	CarePlanActivityDetail
HealthcareService	care_plan_activity_detail	CarePlanActivityDetail
Medication	care_plan_activity_detail	CarePlanActivityDetail
Substance	care_plan_activity_detail	CarePlanActivityDetail
Condition	care_plan_activity_detail	CarePlanActivityDetail
DocumentReference	care_plan_activity_detail	CarePlanActivityDetail
DiagnosticReport	care_plan_activity_detail	CarePlanActivityDetail
Observation	care_plan_activity_detail	CarePlanActivityDetail
Encounter	care_team	CareTeam
Organization	care_team	CareTeam
Condition	care_team	CareTeam
Group	care_team	CareTeam
Patient	care_team	CareTeam
Practitioner	care_team_participant	CareTeamParticipant
Patient	care_team_participant	CareTeamParticipant
PractitionerRole	care_team_participant	CareTeamParticipant
RelatedPerson	care_team_participant	CareTeamParticipant
Organization	member_care_team_participant	CareTeamParticipant
CareTeam	care_team_participant	CareTeamParticipant
Organization	onBehalfOf_care_team_participant	CareTeamParticipant
Practitioner	catalog_entry	CatalogEntry
SpecimenDefinition	catalog_entry	CatalogEntry
Device	catalog_entry	CatalogEntry
ActivityDefinition	catalog_entry	CatalogEntry
PractitionerRole	catalog_entry	CatalogEntry
Organization	catalog_entry	CatalogEntry
ObservationDefinition	catalog_entry	CatalogEntry
Binary	catalog_entry	CatalogEntry
PlanDefinition	catalog_entry	CatalogEntry
HealthcareService	catalog_entry	CatalogEntry
Medication	catalog_entry	CatalogEntry
CatalogEntry	catalog_entry_related_entry	CatalogEntryRelatedEntry
Account	charge_item	ChargeItem
Encounter	charge_item	ChargeItem
EpisodeOfCare	charge_item	ChargeItem
Organization	costCenter_charge_item	ChargeItem
ChargeItemDefinition	charge_item	ChargeItem
Practitioner	charge_item	ChargeItem
Device	enterer_charge_item	ChargeItem
Patient	enterer_charge_item	ChargeItem
PractitionerRole	charge_item	ChargeItem
Organization	enterer_charge_item	ChargeItem
RelatedPerson	charge_item	ChargeItem
ChargeItem	charge_item	ChargeItem
Organization	performingOrganization_charge_item	ChargeItem
Medication	charge_item	ChargeItem
Substance	charge_item	ChargeItem
Device	productReference_charge_item	ChargeItem
Organization	requestingOrganization_charge_item	ChargeItem
ImagingStudy	charge_item	ChargeItem
Procedure	charge_item	ChargeItem
DiagnosticReport	charge_item	ChargeItem
MedicationDispense	charge_item	ChargeItem
SupplyDelivery	charge_item	ChargeItem
Immunization	charge_item	ChargeItem
MedicationAdministration	charge_item	ChargeItem
Observation	charge_item	ChargeItem
Group	charge_item	ChargeItem
Patient	subject_charge_item	ChargeItem
Resource	charge_item	ChargeItem
Practitioner	charge_item_performer	ChargeItemPerformer
Device	charge_item_performer	ChargeItemPerformer
Patient	charge_item_performer	ChargeItemPerformer
PractitionerRole	charge_item_performer	ChargeItemPerformer
Organization	charge_item_performer	ChargeItemPerformer
CareTeam	charge_item_performer	ChargeItemPerformer
RelatedPerson	charge_item_performer	ChargeItemPerformer
Medication	charge_item_definition	ChargeItemDefinition
Substance	charge_item_definition	ChargeItemDefinition
Device	charge_item_definition	ChargeItemDefinition
ChargeItemDefinition	partOf_charge_item_definition	ChargeItemDefinition
ChargeItemDefinition	replaces_charge_item_definition	ChargeItemDefinition
Organization	organization_citation_cited_artifact_classification_who_classified	CitationCitedArtifactClassificationWhoClassified
Practitioner	citation_cited_artifact_classification_who_classified	CitationCitedArtifactClassificationWhoClassified
Person	citation_cited_artifact_classification_who_classified	CitationCitedArtifactClassificationWhoClassified
Organization	publisher_citation_cited_artifact_classification_who_classified	CitationCitedArtifactClassificationWhoClassified
Citation	citation_cited_artifact_part	CitationCitedArtifactPart
Organization	citation_cited_artifact_publication_form_published_in	CitationCitedArtifactPublicationFormPublishedIn
Resource	citation_cited_artifact_relates_to	CitationCitedArtifactRelatesTo
Citation	citation_cited_artifact_version	CitationCitedArtifactVersion
Resource	citation_relates_to	CitationRelatesTo
Practitioner	enterer_claim	Claim
PractitionerRole	enterer_claim	Claim
Location	claim	Claim
Organization	insurer_claim	Claim
MedicationRequest	originalPrescription_claim	Claim
DeviceRequest	originalPrescription_claim	Claim
VisionPrescription	originalPrescription_claim	Claim
Patient	claim	Claim
MedicationRequest	prescription_claim	Claim
DeviceRequest	prescription_claim	Claim
VisionPrescription	prescription_claim	Claim
Practitioner	provider_claim	Claim
PractitionerRole	provider_claim	Claim
Organization	provider_claim	Claim
ServiceRequest	claim	Claim
Location	claim_accident	ClaimAccident
Practitioner	claim_care_team	ClaimCareTeam
PractitionerRole	claim_care_team	ClaimCareTeam
Organization	claim_care_team	ClaimCareTeam
Condition	claim_diagnosis	ClaimDiagnosis
ClaimResponse	claim_insurance	ClaimInsurance
Coverage	claim_insurance	ClaimInsurance
Encounter	claim_item	ClaimItem
Location	claim_item	ClaimItem
Device	claim_item	ClaimItem
Device	claim_item_detail	ClaimItemDetail
Device	claim_item_detail_sub_detail	ClaimItemDetailSubDetail
Practitioner	claim_payee	ClaimPayee
Patient	claim_payee	ClaimPayee
PractitionerRole	claim_payee	ClaimPayee
RelatedPerson	claim_payee	ClaimPayee
Organization	claim_payee	ClaimPayee
Procedure	claim_procedure	ClaimProcedure
Device	claim_procedure	ClaimProcedure
Claim	claim_related	ClaimRelated
Resource	claim_supporting_info	ClaimSupportingInfo
CommunicationRequest	claim_response	ClaimResponse
Organization	insurer_claim_response	ClaimResponse
Patient	claim_response	ClaimResponse
Claim	claim_response	ClaimResponse
Practitioner	claim_response	ClaimResponse
PractitionerRole	claim_response	ClaimResponse
Organization	requestor_claim_response	ClaimResponse
Location	claim_response_add_item	ClaimResponseAddItem
Practitioner	claim_response_add_item	ClaimResponseAddItem
PractitionerRole	claim_response_add_item	ClaimResponseAddItem
Organization	claim_response_add_item	ClaimResponseAddItem
ClaimResponse	claim_response_insurance	ClaimResponseInsurance
Coverage	claim_response_insurance	ClaimResponseInsurance
Practitioner	clinical_impression	ClinicalImpression
PractitionerRole	clinical_impression	ClinicalImpression
Encounter	clinical_impression	ClinicalImpression
ClinicalImpression	clinical_impression	ClinicalImpression
Condition	clinical_impression	ClinicalImpression
AllergyIntolerance	clinical_impression	ClinicalImpression
RiskAssessment	clinical_impression	ClinicalImpression
Group	clinical_impression	ClinicalImpression
Patient	clinical_impression	ClinicalImpression
Resource	clinical_impression	ClinicalImpression
Condition	clinical_impression_finding	ClinicalImpressionFinding
Media	clinical_impression_finding	ClinicalImpressionFinding
Observation	clinical_impression_finding	ClinicalImpressionFinding
ImagingStudy	clinical_impression_investigation	ClinicalImpressionInvestigation
Media	clinical_impression_investigation	ClinicalImpressionInvestigation
DiagnosticReport	clinical_impression_investigation	ClinicalImpressionInvestigation
QuestionnaireResponse	clinical_impression_investigation	ClinicalImpressionInvestigation
RiskAssessment	clinical_impression_investigation	ClinicalImpressionInvestigation
FamilyMemberHistory	clinical_impression_investigation	ClinicalImpressionInvestigation
Observation	clinical_impression_investigation	ClinicalImpressionInvestigation
Group	clinical_use_definition	ClinicalUseDefinition
Device	clinical_use_definition	ClinicalUseDefinition
ActivityDefinition	clinical_use_definition	ClinicalUseDefinition
MedicinalProductDefinition	clinical_use_definition	ClinicalUseDefinition
PlanDefinition	clinical_use_definition	ClinicalUseDefinition
DeviceDefinition	clinical_use_definition	ClinicalUseDefinition
Medication	clinical_use_definition	ClinicalUseDefinition
Substance	clinical_use_definition	ClinicalUseDefinition
ObservationDefinition	comorbidity_clinical_use_definition_contraindication	ClinicalUseDefinitionContraindication
ObservationDefinition	diseaseStatus_clinical_use_definition_contraindication	ClinicalUseDefinitionContraindication
ObservationDefinition	diseaseSymptomProcedure_clinical_use_definition_contraindication	ClinicalUseDefinitionContraindication
ClinicalUseDefinition	clinical_use_definition_contraindication	ClinicalUseDefinitionContraindication
ActivityDefinition	clinical_use_definition_contraindication_other_therapy	ClinicalUseDefinitionContraindicationOtherTherapy
MedicinalProductDefinition	clinical_use_definition_contraindication_other_therapy	ClinicalUseDefinitionContraindicationOtherTherapy
SubstanceDefinition	clinical_use_definition_contraindication_other_therapy	ClinicalUseDefinitionContraindicationOtherTherapy
Medication	clinical_use_definition_contraindication_other_therapy	ClinicalUseDefinitionContraindicationOtherTherapy
Substance	clinical_use_definition_contraindication_other_therapy	ClinicalUseDefinitionContraindicationOtherTherapy
ObservationDefinition	comorbidity_clinical_use_definition_indication	ClinicalUseDefinitionIndication
ObservationDefinition	diseaseStatus_clinical_use_definition_indication	ClinicalUseDefinitionIndication
ObservationDefinition	diseaseSymptomProcedure_clinical_use_definition_indication	ClinicalUseDefinitionIndication
ObservationDefinition	intendedEffect_clinical_use_definition_indication	ClinicalUseDefinitionIndication
ClinicalUseDefinition	clinical_use_definition_indication	ClinicalUseDefinitionIndication
ObservationDefinition	clinical_use_definition_interaction	ClinicalUseDefinitionInteraction
Medication	clinical_use_definition_interaction_interactant	ClinicalUseDefinitionInteractionInteractant
MedicinalProductDefinition	clinical_use_definition_interaction_interactant	ClinicalUseDefinitionInteractionInteractant
ObservationDefinition	clinical_use_definition_interaction_interactant	ClinicalUseDefinitionInteractionInteractant
Substance	clinical_use_definition_interaction_interactant	ClinicalUseDefinitionInteractionInteractant
ObservationDefinition	clinical_use_definition_undesirable_effect	ClinicalUseDefinitionUndesirableEffect
CodeSystem	code_system	CodeSystem
ValueSet	code_system	CodeSystem
Resource	about_communication	Communication
Resource	basedOn_communication	Communication
Encounter	communication	Communication
Communication	communication	Communication
ActivityDefinition	communication	Communication
PlanDefinition	communication	Communication
Measure	communication	Communication
Questionnaire	communication	Communication
OperationDefinition	communication	Communication
Resource	partOf_communication	Communication
Condition	communication	Communication
DocumentReference	communication	Communication
DiagnosticReport	communication	Communication
Observation	communication	Communication
Practitioner	recipient_communication	Communication
Device	recipient_communication	Communication
Patient	recipient_communication	Communication
PractitionerRole	recipient_communication	Communication
Organization	recipient_communication	Communication
RelatedPerson	recipient_communication	Communication
Group	recipient_communication	Communication
CareTeam	communication	Communication
HealthcareService	recipient_communication	Communication
Practitioner	sender_communication	Communication
Device	sender_communication	Communication
Patient	sender_communication	Communication
PractitionerRole	sender_communication	Communication
Organization	sender_communication	Communication
RelatedPerson	sender_communication	Communication
HealthcareService	sender_communication	Communication
Group	subject_communication	Communication
Patient	subject_communication	Communication
Resource	communication_payload	CommunicationPayload
Resource	about_communication_request	CommunicationRequest
Resource	basedOn_communication_request	CommunicationRequest
Encounter	communication_request	CommunicationRequest
Condition	communication_request	CommunicationRequest
DocumentReference	communication_request	CommunicationRequest
DiagnosticReport	communication_request	CommunicationRequest
Observation	communication_request	CommunicationRequest
Practitioner	recipient_communication_request	CommunicationRequest
Device	recipient_communication_request	CommunicationRequest
Patient	recipient_communication_request	CommunicationRequest
PractitionerRole	recipient_communication_request	CommunicationRequest
Organization	recipient_communication_request	CommunicationRequest
RelatedPerson	recipient_communication_request	CommunicationRequest
Group	recipient_communication_request	CommunicationRequest
CareTeam	communication_request	CommunicationRequest
HealthcareService	recipient_communication_request	CommunicationRequest
CommunicationRequest	communication_request	CommunicationRequest
Practitioner	requester_communication_request	CommunicationRequest
Device	requester_communication_request	CommunicationRequest
Patient	requester_communication_request	CommunicationRequest
PractitionerRole	requester_communication_request	CommunicationRequest
RelatedPerson	requester_communication_request	CommunicationRequest
Organization	requester_communication_request	CommunicationRequest
Practitioner	sender_communication_request	CommunicationRequest
Device	sender_communication_request	CommunicationRequest
Patient	sender_communication_request	CommunicationRequest
PractitionerRole	sender_communication_request	CommunicationRequest
Organization	sender_communication_request	CommunicationRequest
RelatedPerson	sender_communication_request	CommunicationRequest
HealthcareService	sender_communication_request	CommunicationRequest
Group	subject_communication_request	CommunicationRequest
Patient	subject_communication_request	CommunicationRequest
Resource	communication_request_payload	CommunicationRequestPayload
Practitioner	composition	Composition
Device	composition	Composition
Patient	composition	Composition
PractitionerRole	composition	Composition
RelatedPerson	composition	Composition
Organization	author_composition	Composition
Organization	custodian_composition	Composition
Encounter	composition	Composition
Resource	composition	Composition
Practitioner	composition_attester	CompositionAttester
Patient	composition_attester	CompositionAttester
PractitionerRole	composition_attester	CompositionAttester
RelatedPerson	composition_attester	CompositionAttester
Organization	composition_attester	CompositionAttester
Resource	composition_event	CompositionEvent
Composition	composition_relates_to	CompositionRelatesTo
Practitioner	composition_section	CompositionSection
Device	composition_section	CompositionSection
Patient	composition_section	CompositionSection
PractitionerRole	composition_section	CompositionSection
RelatedPerson	composition_section	CompositionSection
Organization	composition_section	CompositionSection
Resource	entry_composition_section	CompositionSection
Resource	focus_composition_section	CompositionSection
ValueSet	sourceCanonical_concept_map	ConceptMap
ValueSet	targetCanonical_concept_map	ConceptMap
CodeSystem	concept_map_group_element_target_depends_on	ConceptMapGroupElementTargetDependsOn
ConceptMap	concept_map_group_unmapped	ConceptMapGroupUnmapped
Practitioner	asserter_condition	Condition
PractitionerRole	asserter_condition	Condition
RelatedPerson	asserter_condition	Condition
Patient	asserter_condition	Condition
Encounter	condition	Condition
Practitioner	recorder_condition	Condition
PractitionerRole	recorder_condition	Condition
RelatedPerson	recorder_condition	Condition
Patient	recorder_condition	Condition
Group	condition	Condition
Patient	subject_condition	Condition
Resource	condition_evidence	ConditionEvidence
ClinicalImpression	condition_stage	ConditionStage
DiagnosticReport	condition_stage	ConditionStage
Observation	condition_stage	ConditionStage
Organization	organization_consent	Consent
Patient	patient_consent	Consent
Practitioner	consent	Consent
Patient	performer_consent	Consent
PractitionerRole	consent	Consent
RelatedPerson	consent	Consent
Organization	performer_consent	Consent
DocumentReference	consent	Consent
Consent	consent	Consent
Contract	consent	Consent
QuestionnaireResponse	consent	Consent
Practitioner	consent_provision_actor	ConsentProvisionActor
Device	consent_provision_actor	ConsentProvisionActor
Patient	consent_provision_actor	ConsentProvisionActor
Group	consent_provision_actor	ConsentProvisionActor
Organization	consent_provision_actor	ConsentProvisionActor
CareTeam	consent_provision_actor	ConsentProvisionActor
RelatedPerson	consent_provision_actor	ConsentProvisionActor
PractitionerRole	consent_provision_actor	ConsentProvisionActor
Resource	consent_provision_data	ConsentProvisionData
RelatedPerson	consent_verification	ConsentVerification
Patient	consent_verification	ConsentVerification
Practitioner	contract	Contract
PractitionerRole	contract	Contract
Organization	author_contract	Contract
Patient	contract	Contract
Organization	authority_contract	Contract
Location	domain_contract	Contract
Contract	instantiatesCanonical_contract	Contract
Composition	contract	Contract
DocumentReference	contract	Contract
Contract	legallyBindingReference_contract	Contract
QuestionnaireResponse	contract	Contract
Provenance	contract	Contract
Location	site_contract	Contract
Resource	subject_contract	Contract
Resource	supportingInfo_contract	Contract
Resource	topicReference_contract	Contract
Practitioner	contract_content_definition	ContractContentDefinition
PractitionerRole	contract_content_definition	ContractContentDefinition
Organization	contract_content_definition	ContractContentDefinition
Composition	contract_friendly	ContractFriendly
DocumentReference	contract_friendly	ContractFriendly
QuestionnaireResponse	contract_friendly	ContractFriendly
Composition	contract_legal	ContractLegal
DocumentReference	contract_legal	ContractLegal
QuestionnaireResponse	contract_legal	ContractLegal
DocumentReference	contract_rule	ContractRule
Practitioner	contract_signer	ContractSigner
Patient	contract_signer	ContractSigner
PractitionerRole	contract_signer	ContractSigner
RelatedPerson	contract_signer	ContractSigner
Organization	contract_signer	ContractSigner
Resource	contract_term	ContractTerm
Encounter	contract_term_action	ContractTermAction
EpisodeOfCare	contract_term_action	ContractTermAction
Practitioner	performer_contract_term_action	ContractTermAction
Device	performer_contract_term_action	ContractTermAction
Patient	performer_contract_term_action	ContractTermAction
PractitionerRole	performer_contract_term_action	ContractTermAction
RelatedPerson	performer_contract_term_action	ContractTermAction
CareTeam	contract_term_action	ContractTermAction
Organization	performer_contract_term_action	ContractTermAction
Location	contract_term_action	ContractTermAction
Substance	contract_term_action	ContractTermAction
DocumentReference	contract_term_action	ContractTermAction
DiagnosticReport	contract_term_action	ContractTermAction
QuestionnaireResponse	contract_term_action	ContractTermAction
Condition	contract_term_action	ContractTermAction
Questionnaire	contract_term_action	ContractTermAction
Observation	contract_term_action	ContractTermAction
Practitioner	requester_contract_term_action	ContractTermAction
Device	requester_contract_term_action	ContractTermAction
Patient	requester_contract_term_action	ContractTermAction
PractitionerRole	requester_contract_term_action	ContractTermAction
RelatedPerson	requester_contract_term_action	ContractTermAction
Group	contract_term_action	ContractTermAction
Organization	requester_contract_term_action	ContractTermAction
Practitioner	contract_term_action_subject	ContractTermActionSubject
Device	contract_term_action_subject	ContractTermActionSubject
Patient	contract_term_action_subject	ContractTermActionSubject
PractitionerRole	contract_term_action_subject	ContractTermActionSubject
RelatedPerson	contract_term_action_subject	ContractTermActionSubject
Group	contract_term_action_subject	ContractTermActionSubject
Organization	contract_term_action_subject	ContractTermActionSubject
Resource	contract_term_asset	ContractTermAsset
Resource	contract_term_asset_context	ContractTermAssetContext
Resource	contract_term_asset_valued_item	ContractTermAssetValuedItem
Practitioner	recipient_contract_term_asset_valued_item	ContractTermAssetValuedItem
Patient	recipient_contract_term_asset_valued_item	ContractTermAssetValuedItem
PractitionerRole	recipient_contract_term_asset_valued_item	ContractTermAssetValuedItem
RelatedPerson	recipient_contract_term_asset_valued_item	ContractTermAssetValuedItem
Organization	recipient_contract_term_asset_valued_item	ContractTermAssetValuedItem
Practitioner	responsible_contract_term_asset_valued_item	ContractTermAssetValuedItem
Patient	responsible_contract_term_asset_valued_item	ContractTermAssetValuedItem
PractitionerRole	responsible_contract_term_asset_valued_item	ContractTermAssetValuedItem
RelatedPerson	responsible_contract_term_asset_valued_item	ContractTermAssetValuedItem
Organization	responsible_contract_term_asset_valued_item	ContractTermAssetValuedItem
Resource	contract_term_offer	ContractTermOffer
Resource	contract_term_offer_answer	ContractTermOfferAnswer
Practitioner	contract_term_offer_party	ContractTermOfferParty
Device	contract_term_offer_party	ContractTermOfferParty
Patient	contract_term_offer_party	ContractTermOfferParty
PractitionerRole	contract_term_offer_party	ContractTermOfferParty
RelatedPerson	contract_term_offer_party	ContractTermOfferParty
Group	contract_term_offer_party	ContractTermOfferParty
Organization	contract_term_offer_party	ContractTermOfferParty
Patient	beneficiary_coverage	Coverage
Contract	coverage	Coverage
RelatedPerson	payor_coverage	Coverage
Organization	payor_coverage	Coverage
Patient	payor_coverage	Coverage
Organization	policyHolder_coverage	Coverage
RelatedPerson	policyHolder_coverage	Coverage
Patient	policyHolder_coverage	Coverage
RelatedPerson	subscriber_coverage	Coverage
Patient	subscriber_coverage	Coverage
Practitioner	enterer_coverage_eligibility_request	CoverageEligibilityRequest
PractitionerRole	enterer_coverage_eligibility_request	CoverageEligibilityRequest
Location	coverage_eligibility_request	CoverageEligibilityRequest
Organization	insurer_coverage_eligibility_request	CoverageEligibilityRequest
Patient	coverage_eligibility_request	CoverageEligibilityRequest
Practitioner	provider_coverage_eligibility_request	CoverageEligibilityRequest
PractitionerRole	provider_coverage_eligibility_request	CoverageEligibilityRequest
Organization	provider_coverage_eligibility_request	CoverageEligibilityRequest
Coverage	coverage_eligibility_request_insurance	CoverageEligibilityRequestInsurance
Resource	coverage_eligibility_request_item	CoverageEligibilityRequestItem
Location	coverage_eligibility_request_item	CoverageEligibilityRequestItem
Organization	coverage_eligibility_request_item	CoverageEligibilityRequestItem
Practitioner	coverage_eligibility_request_item	CoverageEligibilityRequestItem
